site_id,plot_id,date,year,Year,Year,DOY,Month,Week,Day,DAP,unix_ts,Easting,Northing,Elev_m,Slope_deg,TWI,pct_clay,pct_sand,pct_silt,pct_om,Ksat_um_s,Precip_mm,Irrigation_mm,ETref_mm,RelHum_pct,WindSpeed_m_s,SolarRad_MJ_m2_d,SoilTemp_C_10cm,T_high_C,T_low_C,Cum_Irrigation_mm,Cum_ETref_mm,Cum_GDD_base10_Cd,GDD_base10_Cd,GDD_base4p4_Cd,SAVI,savi_is_sentinel,DSAVI,VV_median_dB,VH_median_dB,VV_median_last_dB,VH_median_last_dB,VVVH_last_dB,dVV_median_obs_dB,dVH_median_obs_dB,SAR_obs,SAR_days_since,SWD_mech,SWD_prev_mm,N_kg_ha,AWC,CF,DP,Days_Since_Fert,ETa_SIMS,FC,RO_CN,WP,cos_DOY,sin_DOY,Date,Management_Plot_ID
scal,16,5/19/2023,2023,2023,2023,139,5,20,19,1120,1684454400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.833,53,3.442,25.81,19.444,19.444,6.556,0,75.617,100.4,4.4,8.3,0.176666667,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,1,33.929,32.569,271.5941,0.17,33.929,0,1128,1.36,0.283,0,0.176,-0.732494072,0.680773409,5/19/2023,16
scal,16,5/20/2023,2023,2023,2023,140,5,20,20,1121,1684540800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.274,60,1.565,28.62,18.944,23.944,1.889,0,81.891,107.1,6.7,9.4,0.18,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,2,35.438,33.929,271.5941,0.17,35.438,0,1129,1.509,0.283,0,0.176,-0.74410394,0.668063864,5/20/2023,16
scal,16,5/21/2023,2023,2023,2023,141,5,20,21,1122,1684627200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,8.153,58,2.906,25.85,19.722,26.833,5.889,0,90.044,115.4,8.3,10.6,0.183333333,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,3,37.348,35.438,271.5941,0.17,37.348,0,1130,1.91,0.283,0,0.176,-0.755493314,0.655156357,5/21/2023,16
scal,16,5/22/2023,2023,2023,2023,142,5,21,22,1123,1684713600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.798,57,2.816,23.57,20.389,26.778,9.833,0,97.842,123.7,8.3,12.8,0.186666667,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,4,39.21,37.348,271.5941,0.17,39.21,0,1131,1.862,0.283,0,0.176,-0.766658819,0.642054713,5/22/2023,16
scal,16,5/23/2023,2023,2023,2023,143,5,21,23,1124,1684800000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,12.7,6.299,66,2.548,19.17,19.944,26.556,10.222,12.7,104.141,132,8.3,12.8,0.19,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,5,28.248,39.21,271.5941,0.17,28.248,0,1132,1.738,0.283,0,0.176,-0.777597147,0.628762815,5/23/2023,16
scal,16,5/24/2023,2023,2023,2023,144,5,21,24,1125,1684886400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,5.486,65,2.146,17.06,19.667,26,11.833,12.7,109.627,140.9,8.9,13.9,0.193333333,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,6,30.118,28.248,271.5941,0.17,30.118,0,1133,1.87,0.283,0,0.176,-0.788305056,0.6152846,5/24/2023,16
scal,16,5/25/2023,2023,2023,2023,145,5,21,25,1126,1684972800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0.762,0,6.604,70,3.487,20.75,19.833,26.5,11.389,12.7,116.231,149.8,8.9,13.3,0.196666667,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,7,31.28,30.118,271.5941,0.17,31.28,0,1134,1.912,0.283,0,0.176,-0.798779373,0.601624063,5/25/2023,16
scal,16,5/26/2023,2023,2023,2023,146,5,21,26,1127,1685059200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,8.636,64,4.292,23.45,20.111,27.722,13,12.7,124.867,159.8,10,14.4,0.2,0,0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,8,33.376,31.28,271.5941,0.17,33.376,0,1135,2.096,0.283,0,0.176,-0.809016994,0.587785252,5/26/2023,16
scal,16,5/27/2023,2023,2023,2023,147,5,21,27,1128,1685145600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,10.008,50,4.381,24.06,20.833,28.111,13.389,12.7,134.875,170.4,10.6,14.4,0.196666667,0,-0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,9,35.989,33.376,271.5941,0.17,35.989,0,1136,2.613,0.283,0,0.176,-0.819014887,0.573772268,5/27/2023,16
scal,16,5/28/2023,2023,2023,2023,148,5,21,28,1129,1685232000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.595,62,4.649,14.02,20.333,27.056,15.167,12.7,142.47,181,10.6,15.6,0.193333333,0,-0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,10,38.127,35.989,271.5941,0.17,38.127,0,1137,2.138,0.283,0,0.176,-0.828770087,0.559589262,5/28/2023,16
scal,16,5/29/2023,2023,2023,2023,149,5,22,29,1130,1685318400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,13.208,0,9.525,64,3.889,27.63,21.944,30.389,13.944,12.7,151.995,192.7,11.7,15,0.19,0,-0.003333333,-11.23360882,-17.08372828,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,0,11,27.48306343,38.127,271.5941,0.17,27.48306343,0,1138,2.562,0.283,0.004063428,0.176,-0.838279705,0.545240439,5/29/2023,16
scal,16,5/30/2023,2023,2023,2023,150,5,22,30,1131,1685404800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,4.064,0,8.077,62,2.28,27.13,22.333,31,16.611,12.7,160.072,205.5,12.8,16.1,0.2,0,0.01,-10.47508933,-20.61467047,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,1,0,25.78706343,27.48306343,271.5941,0.17,25.78706343,0,1139,2.364,0.283,0,0.176,-0.847540923,0.530730048,5/30/2023,16
scal,16,5/31/2023,2023,2023,2023,151,5,22,31,1132,1685491200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.874,64,2.593,26.07,23.333,29.889,14,12.7,167.946,217.2,11.7,15,0.21,0,0.01,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,1,28.27806343,25.78706343,271.5941,0.17,28.27806343,0,1140,2.491,0.283,0,0.176,-0.856550996,0.516062391,5/31/2023,16
scal,16,6/1/2023,2023,2023,2023,152,6,22,1,1133,1685577600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.798,68,3.979,23.22,23.833,28.222,17.611,12.7,175.744,230,12.8,16.7,0.22,0,0.01,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,2,30.83806343,28.27806343,271.5941,0.17,30.83806343,0,1141,2.56,0.283,0,0.176,-0.865307254,0.501241813,6/1/2023,16
scal,16,6/2/2023,2023,2023,2023,153,6,22,2,1134,1685664000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,14.199,0,3.454,77,2.503,7.2,21.278,25.5,16.722,12.7,179.198,240.6,10.6,16.1,0.23,0,0.01,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,3,18.29113649,30.83806343,271.5941,0.17,18.29113649,0,1142,1.628,0.283,0.035073066,0.176,-0.873807104,0.486272707,6/2/2023,16
scal,16,6/3/2023,2023,2023,2023,154,6,22,3,1135,1685750400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,14.478,0,5.131,77,2.369,18.71,20.5,26.778,14.722,12.7,184.329,251.2,10.6,15,0.24,0,0.01,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,4,5.993135574,18.29113649,271.5941,0.17,5.993135574,0,1143,2.124,0.283,0.047999081,0.176,-0.882048025,0.471159508,6/3/2023,16
scal,16,6/4/2023,2023,2023,2023,155,6,22,4,1136,1685836800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,1.524,0,5.74,68,1.431,21.31,21,29.278,15.056,12.7,190.069,262.9,11.7,15.6,0.25,0,0.01,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,5,7.312135574,5.993135574,271.5941,0.17,7.312135574,0,1144,2.839,0.283,0,0.176,-0.890027576,0.455906694,6/4/2023,16
scal,16,6/5/2023,2023,2023,2023,156,6,23,5,1137,1685923200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.553,63,1.341,27.06,22.556,29.611,15.889,12.7,196.622,275.1,12.2,15.6,0.27,0,0.02,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,6,9.958135574,7.312135574,271.5941,0.17,9.958135574,0,1145,2.646,0.283,0,0.176,-0.897743394,0.440518784,6/5/2023,16
scal,16,6/6/2023,2023,2023,2023,157,6,23,6,1138,1686009600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.325,66,1.252,25.83,23,30.111,14.167,12.7,202.947,286.8,11.7,15,0.29,0,0.02,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,7,13.13813557,9.958135574,271.5941,0.17,13.13813557,0,1146,3.18,0.283,0,0.176,-0.90519319,0.42500034,6/6/2023,16
scal,16,6/7/2023,2023,2023,2023,158,6,23,7,1139,1686096000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.061,61,1.207,28.57,25,31.944,15.778,12.7,210.008,299.6,12.8,15.6,0.31,0,0.02,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,8,16.58313557,13.13813557,271.5941,0.17,16.58313557,0,1147,3.445,0.283,0,0.176,-0.912374758,0.409355959,6/7/2023,16
scal,16,6/8/2023,2023,2023,2023,159,6,23,8,1140,1686182400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,2.794,0,5.69,67,1.833,15.19,24.5,31.278,18.167,12.7,215.698,313.5,13.9,16.7,0.33125,0,0.02125,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,9,16.45313557,16.58313557,271.5941,0.17,16.45313557,0,1148,2.66,0.283,0,0.176,-0.91928597,0.393590277,6/8/2023,16
scal,16,6/9/2023,2023,2023,2023,160,6,23,9,1141,1686268800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,25.908,0,7.112,73,3.174,23.27,23.944,29.5,16.833,12.7,222.81,326.3,12.8,16.1,0.3525,0,0.02125,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,10,0,16.45313557,271.5941,0.17,-3.935861298,3.935861298,1149,3.253,0.283,2.278003128,0.176,-0.925924777,0.377707965,6/9/2023,16
scal,16,6/10/2023,2023,2023,2023,161,6,23,10,1142,1686355200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,2.261,0,2.87,83,1.699,10.19,21.611,23.333,17.444,12.7,225.68,336.3,10,15.6,0.37375,0,0.02125,-11.23360882,-17.08372828,-10.47508933,-20.61467047,10.13958113,2.198815234,3.15021583,0,11,0,0,271.5941,0.17,-0.316,0.316,1150,1.954,0.283,0,0.176,-0.932289213,0.361713731,6/10/2023,16
scal,16,6/11/2023,2023,2023,2023,162,6,23,11,1143,1686441600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,4.648,72,2.414,16.85,20.944,22.056,12.111,12.7,230.328,343,6.7,12.2,0.395,0,0.02125,-7.716570909,-12.87401537,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,1,0,2.35,0,271.5941,0.17,2.35,0,1151,2.35,0.283,0,0.176,-0.938377392,0.345612313,6/11/2023,16
scal,16,6/12/2023,2023,2023,2023,163,6,24,12,1144,1686528000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,5.156,65,1.028,26.75,20,22.611,8.556,12.7,235.484,349.1,6.1,11.1,0.41625,0,0.02125,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,1,5.114,2.35,271.5941,0.17,5.114,0,1152,2.764,0.283,0,0.176,-0.944187509,0.329408482,6/12/2023,16
scal,16,6/13/2023,2023,2023,2023,164,6,24,13,1145,1686614400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,5.918,58,1.073,27.49,21.222,26.056,9.444,12.7,241.402,356.9,7.8,12.8,0.4375,0,0.02125,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,2,8.427,5.114,271.5941,0.17,8.427,0,1153,3.313,0.283,0,0.176,-0.949717843,0.313107041,6/13/2023,16
scal,16,6/14/2023,2023,2023,2023,165,6,24,14,1146,1686700800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,31.75,5.359,66,0.849,25.24,23.5,27.5,13.278,44.45,246.761,366.9,10,14.4,0.45875,0,0.02125,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,3,0,8.427,271.5941,0.17,-20.046,20.046,1154,3.277,0.283,0,0.176,-0.954966755,0.296712819,6/14/2023,16
scal,16,6/15/2023,2023,2023,2023,166,6,24,15,1147,1686787200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.807,60,1.386,25.61,24.667,30.278,13.389,44.45,253.568,378.6,11.7,14.4,0.48,0,0.02125,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,4,4.25,0,271.5941,0.17,4.25,0,1155,4.25,0.283,0,0.176,-0.95993269,0.280230675,6/15/2023,16
scal,16,6/16/2023,2023,2023,2023,167,6,24,16,1148,1686873600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,5.664,67,1.743,18.05,24.889,29.667,16.611,44.45,259.232,391.4,12.8,16.1,0.5175,0,0.0375,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,5,7.522,4.25,271.5941,0.17,7.522,0,1156,3.272,0.283,0,0.176,-0.964614176,0.263665493,6/16/2023,16
scal,16,6/17/2023,2023,2023,2023,168,6,24,17,1149,1686960000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0.508,0,4.166,77,2.235,16.88,23.167,21.667,13.222,44.45,263.398,398.6,7.2,12.8,0.555,0,0.0375,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,6,9.763,7.522,271.5941,0.17,9.763,0,1157,2.741,0.283,0,0.176,-0.969009826,0.24702218,6/17/2023,16
scal,16,6/18/2023,2023,2023,2023,169,6,24,18,1150,1687046400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.239,65,1.788,27.63,23.944,29.722,10.778,44.45,270.637,408.6,10,13.3,0.5925,0,0.0375,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,7,13.475,9.763,271.5941,0.17,13.475,0,1158,3.712,0.283,0,0.176,-0.973118337,0.23030567,6/18/2023,16
scal,16,6/19/2023,2023,2023,2023,170,6,25,19,1151,1687132800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,31.75,10.236,62,3.487,28.17,25.556,33.333,15.111,76.2,280.873,420.8,12.2,15.6,0.63,0,0.0375,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,8,0,13.475,271.5941,0.17,-12.775,12.775,1159,5.5,0.283,0,0.176,-0.976938493,0.213520915,6/19/2023,16
scal,16,6/20/2023,2023,2023,2023,171,6,25,20,1152,1687219200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,9.322,65,3.71,27.28,26.167,32.056,17.278,76.2,290.195,434.1,13.3,16.7,0.67,0,0.04,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,9,5.251,0,271.5941,0.17,5.251,0,1160,5.251,0.283,0,0.176,-0.98046916,0.19667289,6/20/2023,16
scal,16,6/21/2023,2023,2023,2023,172,6,25,21,1153,1687305600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,5.08,0,4.089,71,2.28,8.85,24.056,25.611,18.778,76.2,294.284,445.8,11.7,17.2,0.675,0,0.005,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,10,3.194,5.251,271.5941,0.17,3.194,0,1161,3.013,0.283,0,0.176,-0.983709294,0.179766586,6/21/2023,16
scal,16,6/22/2023,2023,2023,2023,173,6,25,22,1154,1687392000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.528,66,1.52,25.98,24.889,29.5,16.778,76.2,300.812,458.6,12.8,16.1,0.68,0,0.005,-11.23360882,-17.08372828,-7.716570909,-12.87401537,5.157444466,2.758518426,7.740655094,0,11,6.885,3.194,271.5941,0.17,6.885,0,1162,3.691,0.283,0,0.176,-0.986657933,0.162807013,6/22/2023,16
scal,16,6/23/2023,2023,2023,2023,174,6,25,23,1155,1687478400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.29,69,2.548,24.95,25.944,30.889,17.5,76.2,308.102,471.9,13.3,16.7,0.685,0,0.005,-8.690290362,-16.47842262,-8.690290362,-16.47842262,7.788132257,-0.973719453,-3.604407244,1,0,11.519,6.885,271.5941,0.17,11.519,0,1163,4.634,0.283,0,0.176,-0.989314204,0.145799197,6/23/2023,16
scal,16,6/24/2023,2023,2023,2023,175,6,25,24,1156,1687564800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0.254,0,9.881,60,3.398,29.08,27,31.111,17.278,76.2,317.983,485.2,13.3,16.7,0.69,0,0.005,-11.23360882,-17.08372828,-8.690290362,-16.47842262,7.788132257,-0.973719453,-3.604407244,0,1,16.351,11.519,271.5941,0.17,16.351,0,1164,5.082,0.283,0,0.176,-0.99167732,0.128748177,6/24/2023,16
scal,16,6/25/2023,2023,2023,2023,176,6,25,25,1157,1687651200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,9.474,58,4.113,29.74,25.667,27.444,14.444,76.2,327.457,495.8,10.6,15,0.67,0,-0.02,-11.23360882,-17.08372828,-8.690290362,-16.47842262,7.788132257,-0.973719453,-3.604407244,0,2,21.627,16.351,271.5941,0.17,21.627,0,1165,5.276,0.283,0,0.176,-0.99374658,0.111659007,6/25/2023,16
